Name,Age,Gender,Education_Level,Field_of_Study,Degrees,Institute_Name,Graduation_Year,Experience_Years,Current_Job_Title,Previous_Job_Titles,Skills,Certifications,Target_Job_Description
Rohan Davis,25,Non-Binary,Bachelor's,Information Systems,Bachelor's in Information Systems,University of Toronto,2025,0,None,None,"Kubernetes, Kafka, Docker, Spark, Agile, JavaScript, Java, SQL",None,"Targeting a Cybersecurity Analyst role to contribute to the development and maintenance of robust security frameworks, policies, and procedures."
Michael Venkatesh,41,Male,Master's,Electronics Engineering,Master's in Electronics Engineering,National Institute of Technology Trichy,2022,3,Quantum Computing Specialist,None,"Git, Penetration Testing, Natural Language Processing, REST APIs, Spark, Cybersecurity",None,Looking for an opportunity as a Quantum Computing Specialist to leverage my expertise in electronics engineering and make a meaningful impact in the industry.
Matthew Wilson,44,Female,Diploma,Software Engineering,Diploma in Software Engineering,University of California Berkeley,2015,6,Site Reliability Engineer,DevOps Engineer,"Ansible, MongoDB, Linux, Natural Language Processing, Cybersecurity, AWS, Data Analysis, Solidity",Microsoft Azure Fundamentals,Looking for an opportunity as a Big Data Engineer to leverage my expertise in software engineering and make a meaningful impact in the industry.
Meera Zhang,31,Male,Master's,Machine Learning,Master's in Machine Learning,Stanford University,2019,6,MLOps Specialist,"UI/UX Designer, Quantum Computing Specialist, AI Engineer","Network Security, Git, Spark, Java, SQL, REST APIs, Cloud Computing","Certified Kubernetes Administrator, Oracle Certified Professional, Scrum Master Certified",Seeking a challenging role as a MLOps Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Harper Bansal,29,Non-Binary,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,University of Cambridge,2016,7,Blockchain Engineer,None,"REST APIs, React, Jenkins, Ansible",Certified Information Systems Security Professional,Seeking a challenging role as a Big Data Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Ananya Moore,32,Female,Master's,Cybersecurity,Master's in Cybersecurity,University of Washington,2024,0,None,None,"Spark, Cloud Computing, REST APIs, JavaScript, Azure","Oracle Certified Professional, TensorFlow Developer Certificate",Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.
Karan Wilson,26,Female,Certificate,Robotics,Certificate in Robotics,Carnegie Mellon University,2021,0,None,None,"Agile, Cloud Computing, Kafka, Terraform, Network Security, Git, Penetration Testing, Java","Certified Information Systems Security Professional, Project Management Professional","Targeting a UI/UX Designer role to contribute to the entire design process from concept to implementation, ensuring optimal user satisfaction and usability."
Priya Miller,41,Non-Binary,Master's,Robotics,Master's in Robotics,Armed Forces Medical College,2017,3,Data Scientist,None,"Penetration Testing, Kubernetes, DevOps, Microservices, Docker, Natural Language Processing, JavaScript, AWS",AWS Certified Solutions Architect,"Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling."
Arjun Iyer,27,Non-Binary,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,Technical University of Munich,2018,4,Frontend Developer,None,"Microservices, Linux, TensorFlow, Cybersecurity, Terraform, Agile, Scrum, Computer Vision","Certified Kubernetes Administrator, Oracle Certified Professional, Cisco Certified Network Associate",Targeting a AI Ethics Officer position to utilize my educational background and experience to drive results and achieve career objectives.
Matthew Rao,31,Female,Bachelor's,Robotics,Bachelor's in Robotics,Indian Institute of Science,2019,0,None,None,"AWS, Jenkins, Terraform, Microservices, REST APIs, Scrum",Cisco Certified Network Associate,Looking for an opportunity as a Blockchain Engineer to leverage my expertise in robotics and make a meaningful impact in the industry.
Ethan Kim,29,Non-Binary,Master's,Data Science,Master's in Data Science,SRM Institute of Science and Technology,2025,0,None,None,"Ansible, Data Analysis, Azure, MongoDB, Natural Language Processing, Terraform",None,Seeking a challenging role as a Quantum Computing Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Michael Anderson,43,Female,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Harvard University,2025,0,None,None,"Kubernetes, GraphQL, Penetration Testing, Jenkins, PyTorch, Statistics, Linux, DevOps",None,"Targeting an AI Engineer position to contribute to the development of intelligent systems using Python, TensorFlow, and PyTorch. Eager to work on large-scale AI projects in a collaborative environment."
Joshua Zhang,22,Male,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Yale University,2017,7,Data Scientist,None,"Network Security, TensorFlow, Statistics, JavaScript, Python, Git, MongoDB","Cisco Certified Network Associate, TensorFlow Developer Certificate","Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports."
Emma Zhang,35,Non-Binary,Bachelor's,Software Engineering,Bachelor's in Software Engineering,University of California Berkeley,2017,7,AI Engineer,None,"Statistics, Jenkins, PyTorch, TensorFlow, REST APIs, Blockchain","Google Cloud Professional, Certified Ethical Hacker","Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services."
Alexander Garcia,35,Female,Diploma,Computer Engineering,Diploma in Computer Engineering,Technical University of Munich,2016,4,Software Developer,None,"Python, Computer Vision, CI/CD, Natural Language Processing, React, AWS, Cybersecurity, Git",Certified Ethical Hacker,Seeking a challenging role as a Software Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Arjun Reddy,25,Female,Master's,Electrical Engineering,"Master's in Electrical Engineering, Bachelor's in Information Systems",Vellore Institute of Technology,2024,0,None,None,"Ansible, Penetration Testing, Terraform, Machine Learning, Natural Language Processing, SQL, Solidity","Google Cloud Professional, Scrum Master Certified",Looking for an opportunity as a Big Data Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.
Vikram Thompson,24,Non-Binary,Bachelor's,Electrical Engineering,Bachelor's in Electrical Engineering,Armed Forces Medical College,2022,3,AI Ethics Officer,AI Engineer,"Cloud Computing, Solidity, React, Cybersecurity",Google Data Analytics Professional,Looking for an opportunity as a AI Ethics Officer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.
Ava Sharma,44,Male,Master's,Computer Science,Master's in Computer Science,Armed Forces Medical College,2020,3,Site Reliability Engineer,Full-Stack Developer,"Node.js, Terraform, React, Spark, Penetration Testing, JavaScript","Certified Ethical Hacker, Microsoft Azure Fundamentals",Seeking a challenging role as a Site Reliability Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Christopher Park,38,Male,Master's,Cybersecurity,Master's in Cybersecurity,Technical University of Munich,2022,3,Cloud Engineer,None,"Terraform, REST APIs, DevOps, Azure, Deep Learning",None,"Seeking a Cloud Engineer position to design, implement, and maintain scalable cloud infrastructure using AWS, Azure, or Google Cloud Platform."
Evelyn Taylor,25,Female,Bachelor's,Robotics,Bachelor's in Robotics,University of California Berkeley,2024,0,None,None,"GraphQL, Java, Natural Language Processing, Machine Learning",None,"Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications."
Christopher Liu,22,Male,Master's,Artificial Intelligence,Master's in Artificial Intelligence,Delhi University,2018,2,MLOps Specialist,None,"Terraform, Machine Learning, React, Azure, Cloud Computing","Certified Kubernetes Administrator, CompTIA Security+",Seeking a challenging role as a Mobile Applications Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Michael Martinez,29,Male,Master's,Electrical Engineering,Master's in Electrical Engineering,Columbia University,2018,4,Machine Learning Engineer,Data Scientist,"Ansible, Network Security, React, Scrum, Microservices, DevOps, Linux","Certified Ethical Hacker, Microsoft Azure Fundamentals, Cisco Certified Network Associate","Targeting a DevOps Engineer role to work with containerization technologies, configuration management tools, and cloud platforms to optimize software delivery."
Michael Martin,38,Non-Binary,Bachelor's,Data Science,Bachelor's in Data Science,University of Oxford,2021,4,Blockchain Engineer,None,"Agile, SQL, Solidity, CI/CD, Terraform",AWS Certified Solutions Architect,Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Samantha Srinivasan,44,Non-Binary,Master's,Machine Learning,Master's in Machine Learning,Manipal Institute of Technology,2021,4,Software Engineer,Full-Stack Developer,"Git, Python, Machine Learning, PyTorch, AWS, Penetration Testing",CompTIA Security+,"Looking for a Software Engineer role where I can contribute to full-stack development, write clean and maintainable code, and collaborate with cross-functional teams."
Kavya Kim,32,Female,Bachelor's,Information Systems,Bachelor's in Information Systems,SRM Institute of Science and Technology,2017,0,None,None,"MongoDB, Penetration Testing, Linux, Machine Learning, CI/CD, Jenkins, GraphQL",None,Targeting a AI Ethics Officer position to utilize my educational background and experience to drive results and achieve career objectives.
